,precision,recall,f1-score,support
0,0.9504950495049505,0.96,0.9552238805970149,100.0
1,0.8571428571428571,0.84,0.8484848484848485,100.0
2,0.8380952380952381,0.88,0.8585365853658536,100.0
3,0.9791666666666666,0.94,0.9591836734693877,100.0
accuracy,0.905,0.905,0.905,0.905
macro avg,0.9062249528524281,0.9049999999999999,0.9053572469792762,400.0
weighted avg,0.9062249528524279,0.905,0.9053572469792761,400.0
