,precision,recall,f1-score,support
0,0.8952380952380953,0.94,0.9170731707317074,100.0
1,0.7959183673469388,0.78,0.7878787878787878,100.0
2,0.7692307692307693,0.8,0.7843137254901961,100.0
3,0.9354838709677419,0.87,0.9015544041450777,100.0
accuracy,0.8475,0.8475,0.8475,0.8475
macro avg,0.8489677756958863,0.8475,0.8477050220614423,400.0
weighted avg,0.8489677756958863,0.8475,0.8477050220614423,400.0
